City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
168,Cayenne,4.9333,-52.3333,83.08,80,0,3.0,GF,clear sky,2021-10-10 23:15:12
169,Faanui,-16.4833,-151.75,79.66,74,48,12.19,PF,light rain,2021-10-10 23:14:23
170,Cartagena,10.3997,-75.5144,82.02,78,40,3.44,CO,scattered clouds,2021-10-10 23:17:21
171,Alanya,36.5438,31.9998,66.33,41,32,4.43,TR,scattered clouds,2021-10-10 23:20:27
172,Dikson,73.5069,80.5464,29.68,66,100,21.41,RU,light snow,2021-10-10 23:14:52
173,Lata,40.1629,-8.3327,66.06,55,14,4.83,PT,few clouds,2021-10-10 23:14:03
174,Fernley,39.608,-119.2518,72.81,17,1,3.44,US,clear sky,2021-10-10 23:20:28
175,Makat,47.6469,53.3463,48.27,43,1,6.22,KZ,clear sky,2021-10-10 23:20:28
176,Maridi,4.9158,29.4742,66.7,98,100,4.07,SS,moderate rain,2021-10-10 23:20:28
177,Howard Springs,-12.497,131.047,88.83,81,59,5.06,AU,broken clouds,2021-10-10 23:20:29
178,Ahuimanu,21.4447,-157.8378,83.91,60,40,19.57,US,scattered clouds,2021-10-10 23:20:29
179,Tessalit,20.1986,1.0114,84.97,11,94,7.67,ML,overcast clouds,2021-10-10 23:16:14
180,Los Llanos De Aridane,28.6585,-17.9182,67.75,84,0,9.22,ES,clear sky,2021-10-10 23:13:52
181,Collie,-33.3667,116.15,55.98,82,88,8.08,AU,overcast clouds,2021-10-10 23:20:29
182,Ketchikan,55.3422,-131.6461,48.67,81,90,8.05,US,light rain,2021-10-10 23:20:30
183,Ambilobe,-13.2,49.05,71.82,65,52,3.11,MG,broken clouds,2021-10-10 23:20:30
184,Nabire,-3.3667,135.4833,80.96,82,95,2.68,ID,light rain,2021-10-10 23:16:40
185,Kavaratti,10.5669,72.642,82.18,81,99,15.08,IN,overcast clouds,2021-10-10 23:14:47
186,Townsville,-19.25,146.8,81.48,57,13,9.22,AU,few clouds,2021-10-10 23:19:17
187,Husyatyn,49.0726,26.2141,42.78,47,1,7.05,UA,clear sky,2021-10-10 23:20:31
188,Ossora,59.2353,163.0719,35.96,62,10,0.36,RU,clear sky,2021-10-10 23:20:31
189,Cockburn Town,21.4612,-71.1419,82.36,74,40,13.8,TC,scattered clouds,2021-10-10 23:20:31
190,Bilaspur,22.0833,82.15,68.94,70,13,4.18,IN,few clouds,2021-10-10 23:18:38
191,Medveda,56.5081,92.4078,37.33,99,100,2.84,RU,overcast clouds,2021-10-10 23:20:32
192,Brumadinho,-20.1433,-44.1997,69.08,91,100,3.04,BR,light rain,2021-10-10 23:20:32
193,Daru,-9.0763,143.2092,79.63,79,100,8.43,PG,overcast clouds,2021-10-10 23:20:32
194,Clyde River,70.4692,-68.5914,32.65,77,100,2.86,CA,overcast clouds,2021-10-10 23:14:44
195,Sambava,-14.2667,50.1667,67.05,83,28,8.39,MG,scattered clouds,2021-10-10 23:20:33
196,Nemuro,43.3236,145.575,62.31,90,100,24.05,JP,light rain,2021-10-10 23:16:10
197,Kaka,37.3482,59.6143,47.39,30,6,4.81,TM,clear sky,2021-10-10 23:20:33
198,Arraial Do Cabo,-22.9661,-42.0278,67.23,88,100,22.57,BR,overcast clouds,2021-10-10 23:15:15
199,Palmer,42.1584,-72.3287,62.2,75,90,4.0,US,overcast clouds,2021-10-10 23:13:59
200,Kingaroy,-26.5333,151.8333,72.05,68,40,11.5,AU,scattered clouds,2021-10-10 23:20:34
201,Banyo,6.75,11.8167,63.95,91,100,3.06,CM,overcast clouds,2021-10-10 23:20:34
202,Krasnovishersk,60.4078,57.082,32.09,81,100,7.29,RU,overcast clouds,2021-10-10 23:16:23
203,Puerto Ayora,-0.7393,-90.3518,70.56,87,60,5.01,EC,broken clouds,2021-10-10 23:14:17
204,Flinders,-34.5833,150.8552,58.05,77,100,7.0,AU,overcast clouds,2021-10-10 23:16:46
205,Farmington,36.7281,-108.2187,68.86,28,1,26.46,US,clear sky,2021-10-10 23:20:34
206,Saint George,37.1041,-113.5841,75.67,28,1,1.99,US,clear sky,2021-10-10 23:11:29
207,Cidreira,-30.1811,-50.2056,65.08,79,100,19.82,BR,overcast clouds,2021-10-10 23:10:48
208,Bijar,35.8668,47.6051,47.68,48,0,4.83,IR,clear sky,2021-10-10 23:20:35
209,Kolchugino,56.3,39.3833,41.13,80,66,5.37,RU,broken clouds,2021-10-10 23:20:35
210,San Vicente De Canete,-13.0751,-76.3835,63.57,88,79,6.82,PE,broken clouds,2021-10-10 23:20:35
211,Kapit,2.0167,112.9333,76.62,91,94,0.22,MY,overcast clouds,2021-10-10 23:20:36
212,Tongzi,28.7829,105.0877,56.03,89,100,1.77,CN,light rain,2021-10-10 23:20:36
213,Egvekinot,66.3167,-179.1667,20.53,84,95,6.6,RU,overcast clouds,2021-10-10 23:14:19
214,Puerto Escondido,15.85,-97.0667,86.83,58,40,8.05,MX,scattered clouds,2021-10-10 23:13:46
215,Souillac,-20.5167,57.5167,71.37,91,91,8.39,MU,light rain,2021-10-10 23:13:46
216,Avera,33.194,-82.5271,78.67,69,26,6.02,US,scattered clouds,2021-10-10 23:13:08
217,Shimoni,-4.6476,39.3817,76.24,84,49,9.24,KE,scattered clouds,2021-10-10 23:20:37
218,Linxi,39.7,118.4333,48.43,52,52,5.84,CN,broken clouds,2021-10-10 23:20:37
219,Belaya Gora,68.5333,146.4167,21.31,69,100,3.36,RU,overcast clouds,2021-10-10 23:20:37
220,Oistins,13.0667,-59.5333,82.49,78,75,18.41,BB,broken clouds,2021-10-10 23:16:51
221,Longyearbyen,78.2186,15.6401,28.24,74,75,9.22,SJ,broken clouds,2021-10-10 23:10:48
